app_name,cg_name,cg_edges,cg_construction_time,cg_memory_consumed,analysis_time,analysis_memory
RegisterGlobal1.apk,CHA,44,0.493,286.421875,5.012,457.671875
RegisterGlobal1.apk,CHA,63,0.07,283.84375,5.012,457.671875
RegisterGlobal1.apk,CHA,63,0.081,289.9296875,5.012,457.671875
RegisterGlobal1.apk,VTA,63,0.405,348.96484375,5.012,457.671875
RegisterGlobal1.apk,VTA,63,0.39,311.015625,5.012,457.671875
RegisterGlobal1.apk,RTA,63,0.308,340.12109375,5.012,457.671875
RegisterGlobal1.apk,RTA,63,0.122,322.44921875,5.012,457.671875
RegisterGlobal1.apk,SPARK,63,0.15,390.38671875,5.012,457.671875
RegisterGlobal1.apk,SPARK,63,0.069,394.234375,5.012,457.671875
RegisterGlobal1.apk,GEOM,63,0.907,428.296875,5.012,457.671875
RegisterGlobal1.apk,GEOM,63,0.641,445.91796875,5.012,457.671875
RegisterGlobal2.apk,CHA,63,0.111,452.890625,5.435,336.796875
RegisterGlobal2.apk,CHA,63,0.039,457.33203125,5.435,336.796875
RegisterGlobal2.apk,VTA,63,0.143,461.171875,5.435,336.796875
RegisterGlobal2.apk,VTA,63,0.033,462.53125,5.435,336.796875
RegisterGlobal2.apk,RTA,63,0.166,387.76953125,5.435,336.796875
RegisterGlobal2.apk,RTA,63,0.041,392.37890625,5.435,336.796875
RegisterGlobal2.apk,SPARK,63,0.147,334.63671875,5.435,336.796875
RegisterGlobal2.apk,SPARK,63,0.074,341.77734375,5.435,336.796875
RegisterGlobal2.apk,GEOM,63,0.846,248.5234375,5.435,336.796875
RegisterGlobal2.apk,GEOM,63,0.756,271.44140625,5.435,336.796875
AnonymousClass1.apk,CHA,63,0.12,385.6796875,4.248,508.59375
AnonymousClass1.apk,CHA,63,0.021,0,4.248,508.59375
AnonymousClass1.apk,VTA,63,0.086,414.3984375,4.248,508.59375
AnonymousClass1.apk,VTA,63,0.035,415.859375,4.248,508.59375
AnonymousClass1.apk,RTA,63,0.065,422.58984375,4.248,508.59375
AnonymousClass1.apk,RTA,63,0.037,423.89453125,4.248,508.59375
AnonymousClass1.apk,SPARK,63,0.05,491.7265625,4.248,508.59375
AnonymousClass1.apk,SPARK,63,0.017,0,4.248,508.59375
AnonymousClass1.apk,GEOM,63,0.764,499.265625,4.248,508.59375
AnonymousClass1.apk,GEOM,63,0.633,400.96484375,4.248,508.59375
Unregister1.apk,CHA,63,0.113,414.0625,4.29,503.88671875
Unregister1.apk,CHA,63,0.012,0,4.29,503.88671875
Unregister1.apk,VTA,63,0.073,438.2265625,4.29,503.88671875
Unregister1.apk,VTA,63,0.017,0,4.29,503.88671875
Unregister1.apk,RTA,63,0.139,456.609375,4.29,503.88671875
Unregister1.apk,RTA,63,0.045,458.5703125,4.29,503.88671875
Unregister1.apk,SPARK,63,0.047,499.26171875,4.29,503.88671875
Unregister1.apk,SPARK,63,0.019,0,4.29,503.88671875
Unregister1.apk,GEOM,63,0.712,504.5546875,4.29,503.88671875
Unregister1.apk,GEOM,63,0.584,475.84765625,4.29,503.88671875
Ordering1.apk,CHA,63,0.081,487.57421875,4.083,477.5078125
Ordering1.apk,CHA,63,0.02,0,4.083,477.5078125
Ordering1.apk,VTA,63,0.098,406.1796875,4.083,477.5078125
Ordering1.apk,VTA,63,0.072,396.81640625,4.083,477.5078125
Ordering1.apk,RTA,63,0.157,437.6875,4.083,477.5078125
Ordering1.apk,RTA,63,0.023,0,4.083,477.5078125
Ordering1.apk,SPARK,63,0.059,462.234375,4.083,477.5078125
Ordering1.apk,SPARK,63,0.02,0,4.083,477.5078125
Ordering1.apk,GEOM,63,0.592,477.375,4.083,477.5078125
Ordering1.apk,GEOM,63,0.591,435.94140625,4.083,477.5078125
Button1.apk,CHA,63,0.072,443.67578125,3.991,516.39453125
Button1.apk,CHA,63,0.008,0,3.991,516.39453125
Button1.apk,VTA,63,0.043,477.45703125,3.991,516.39453125
Button1.apk,VTA,63,0.017,0,3.991,516.39453125
Button1.apk,RTA,63,0.038,548.3125,3.991,516.39453125
Button1.apk,RTA,63,0.012,0,3.991,516.39453125
Button1.apk,SPARK,63,0.03,530.8125,3.991,516.39453125
Button1.apk,SPARK,63,0.014,0,3.991,516.39453125
Button1.apk,GEOM,63,0.687,519.6328125,3.991,516.39453125
Button1.apk,GEOM,63,0.481,319.48046875,3.991,516.39453125
Button2.apk,CHA,63,0.104,365.46484375,4.199,523.0859375
Button2.apk,CHA,63,0.031,362.546875,4.199,523.0859375
Button2.apk,VTA,63,0.084,249.265625,4.199,523.0859375
Button2.apk,VTA,63,0.036,272.28125,4.199,523.0859375
Button2.apk,RTA,63,0.132,350.4921875,4.199,523.0859375
Button2.apk,RTA,63,0.052,356.96484375,4.199,523.0859375
Button2.apk,SPARK,63,0.041,433.11328125,4.199,523.0859375
Button2.apk,SPARK,63,0.017,0,4.199,523.0859375
Button2.apk,GEOM,63,0.716,482.16015625,4.199,523.0859375
Button2.apk,GEOM,63,0.616,364.04296875,4.199,523.0859375
Button3.apk,CHA,63,0.1,412.6796875,3.95,493.171875
Button3.apk,CHA,63,0.008,0,3.95,493.171875
Button3.apk,VTA,63,0.035,428.4140625,3.95,493.171875
Button3.apk,VTA,63,0.012,0,3.95,493.171875
Button3.apk,RTA,63,0.122,437.2890625,3.95,493.171875
Button3.apk,RTA,63,0.02,0,3.95,493.171875
Button3.apk,SPARK,63,0.066,484.1875,3.95,493.171875
Button3.apk,SPARK,63,0.014,0,3.95,493.171875
Button3.apk,GEOM,63,0.496,493.34375,3.95,493.171875
Button3.apk,GEOM,63,0.599,460.47265625,3.95,493.171875
LocationLeak1.apk,CHA,63,0.09,454.30078125,4.248,597.5234375
LocationLeak1.apk,CHA,63,0.018,0,4.248,597.5234375
LocationLeak1.apk,VTA,63,0.065,428.83984375,4.248,597.5234375
LocationLeak1.apk,VTA,63,0.029,440.73828125,4.248,597.5234375
LocationLeak1.apk,RTA,63,0.162,461.5703125,4.248,597.5234375
LocationLeak1.apk,RTA,63,0.02,0,4.248,597.5234375
LocationLeak1.apk,SPARK,63,0.052,510.46875,4.248,597.5234375
LocationLeak1.apk,SPARK,63,0.017,0,4.248,597.5234375
LocationLeak1.apk,GEOM,63,0.659,599.2109375,4.248,597.5234375
LocationLeak1.apk,GEOM,63,0.605,409.609375,4.248,597.5234375
MethodOverride1.apk,CHA,63,0.087,429.84375,3.934,624.0078125
MethodOverride1.apk,CHA,63,0.009,0,3.934,624.0078125
MethodOverride1.apk,VTA,63,0.026,460.0625,3.934,624.0078125
MethodOverride1.apk,VTA,63,0.01,0,3.934,624.0078125
MethodOverride1.apk,RTA,63,0.026,521.43359375,3.934,624.0078125
MethodOverride1.apk,RTA,63,0.012,0,3.934,624.0078125
MethodOverride1.apk,SPARK,63,0.024,612.25390625,3.934,624.0078125
MethodOverride1.apk,SPARK,63,0.009,0,3.934,624.0078125
MethodOverride1.apk,GEOM,63,0.601,419.1953125,3.934,624.0078125
MethodOverride1.apk,GEOM,63,0.534,427.6015625,3.934,624.0078125
LocationLeak2.apk,CHA,63,0.095,455.05859375,3.95,580.90625
LocationLeak2.apk,CHA,63,0.021,0,3.95,580.90625
LocationLeak2.apk,VTA,63,0.072,475.1015625,3.95,580.90625
LocationLeak2.apk,VTA,63,0.026,475.734375,3.95,580.90625
LocationLeak2.apk,RTA,63,0.126,497.3671875,3.95,580.90625
LocationLeak2.apk,RTA,63,0.041,500.31640625,3.95,580.90625
LocationLeak2.apk,SPARK,63,0.051,509.91015625,3.95,580.90625
LocationLeak2.apk,SPARK,63,0.02,0,3.95,580.90625
LocationLeak2.apk,GEOM,63,0.63,552.96875,3.95,580.90625
LocationLeak2.apk,GEOM,63,0.553,424.953125,3.95,580.90625
MultiHandlers1.apk,CHA,63,0.134,457.30859375,4.569,338.19921875
MultiHandlers1.apk,CHA,63,0.008,0,4.569,338.19921875
MultiHandlers1.apk,VTA,63,0.113,300.5546875,4.569,338.19921875
MultiHandlers1.apk,VTA,63,0.021,0,4.569,338.19921875
MultiHandlers1.apk,RTA,63,0.056,400.66015625,4.569,338.19921875
MultiHandlers1.apk,RTA,63,0.028,0,4.569,338.19921875
MultiHandlers1.apk,SPARK,63,0.068,225.96484375,4.569,338.19921875
MultiHandlers1.apk,SPARK,63,0.017,0,4.569,338.19921875
MultiHandlers1.apk,GEOM,63,0.825,342.2578125,4.569,338.19921875
MultiHandlers1.apk,GEOM,63,0.765,276.09375,4.569,338.19921875
Button4.apk,CHA,63,0.102,371.13671875,3.96,472.078125
Button4.apk,CHA,63,0.008,0,3.96,472.078125
Button4.apk,VTA,63,0.03,393.515625,3.96,472.078125
Button4.apk,VTA,63,0.01,0,3.96,472.078125
Button4.apk,RTA,63,0.103,397.8359375,3.96,472.078125
Button4.apk,RTA,63,0.011,0,3.96,472.078125
Button4.apk,SPARK,63,0.022,0,3.96,472.078125
Button4.apk,SPARK,63,0.012,0,3.96,472.078125
Button4.apk,GEOM,63,0.541,294.44921875,3.96,472.078125
Button4.apk,GEOM,63,0.556,302.703125,3.96,472.078125
Button5.apk,CHA,63,0.09,396.01953125,4.141,507.26171875
Button5.apk,CHA,63,0.004,0,4.141,507.26171875
Button5.apk,VTA,63,0.033,415.63671875,4.141,507.26171875
Button5.apk,VTA,63,0.015,0,4.141,507.26171875
Button5.apk,RTA,63,0.102,422.953125,4.141,507.26171875
Button5.apk,RTA,63,0.022,0,4.141,507.26171875
Button5.apk,SPARK,63,0.021,0,4.141,507.26171875
Button5.apk,SPARK,63,0.008,0,4.141,507.26171875
Button5.apk,GEOM,63,0.546,507.0625,4.141,507.26171875
Button5.apk,GEOM,63,0.727,471.29296875,4.141,507.26171875
LocationLeak3.apk,CHA,63,0.101,480.45703125,4.447,602.9453125
LocationLeak3.apk,CHA,63,0.005,0,4.447,602.9453125
LocationLeak3.apk,VTA,63,0.039,481.890625,4.447,602.9453125
LocationLeak3.apk,VTA,63,0.011,0,4.447,602.9453125
LocationLeak3.apk,RTA,63,0.033,551.53515625,4.447,602.9453125
LocationLeak3.apk,RTA,63,0.019,0,4.447,602.9453125
LocationLeak3.apk,SPARK,63,0.044,624.51171875,4.447,602.9453125
LocationLeak3.apk,SPARK,63,0.015,0,4.447,602.9453125
LocationLeak3.apk,GEOM,63,0.735,511.69921875,4.447,602.9453125
LocationLeak3.apk,GEOM,63,0.705,383.1640625,4.447,602.9453125
